disease,gene_symbol,gene_full_name
Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,KIF7,kinesin family member 7
Brachydactyly-short stature-retinitis pigmentosa syndrome,CWC27,CWC27 spliceosome associated cyclophilin
Aspartylglucosaminuria,AGA,aspartylglucosaminidase
Multiple sulfatase deficiency,SUMF1,sulfatase modifying factor 1
Beta-mannosidosis,MANBA,mannosidase beta
Pontocerebellar hypoplasia type 4,TSEN54,tRNA splicing endonuclease subunit 54
Von Willebrand disease type 1,VWF,von Willebrand factor
Pontocerebellar hypoplasia type 6,RARS2,"arginyl-tRNA synthetase 2, mitochondrial"
Von Willebrand disease type 2A,VWF,von Willebrand factor
Farber disease,ASAH1,N-acylsphingosine amidohydrolase 1
Fucosidosis,FUCA1,alpha-L-fucosidase 1
Von Willebrand disease type 2M,VWF,von Willebrand factor
Von Willebrand disease type 2B,VWF,von Willebrand factor
Glycogen storage disease due to glycogen debranching enzyme deficiency,AGL,"amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
Von Willebrand disease type 2N,VWF,von Willebrand factor
Glycogen storage disease due to muscle glycogen phosphorylase deficiency,PYGM,"glycogen phosphorylase, muscle associated"
Von Willebrand disease type 3,VWF,von Willebrand factor
Autosomal dominant otospondylomegaepiphyseal dysplasia,COL2A1,collagen type II alpha 1 chain
Autosomal dominant otospondylomegaepiphyseal dysplasia,COL11A2,collagen type XI alpha 2 chain
Glycogen storage disease due to muscle phosphofructokinase deficiency,PFKM,"phosphofructokinase, muscle"
FASTKD2-related infantile mitochondrial encephalomyopathy,FASTKD2,FAST kinase domains 2
Glycogen storage disease due to liver glycogen phosphorylase deficiency,PYGL,glycogen phosphorylase L
Paroxysmal nocturnal hemoglobinuria,PIGA,phosphatidylinositol glycan anchor biosynthesis class A
Birk-Barel syndrome,KCNK9,potassium two pore domain channel subfamily K member 9
Isolated osteopoikilosis,LEMD3,LEM domain containing 3
Dentinogenesis imperfecta type 2,DSPP,dentin sialophosphoprotein
Dentinogenesis imperfecta type 3,DSPP,dentin sialophosphoprotein
Odontochondrodysplasia,TRIP11,thyroid hormone receptor interactor 11
Mucolipidosis type II,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
Sialidosis type 1,NEU1,neuraminidase 1
Hereditary sick sinus syndrome,SCN5A,sodium voltage-gated channel alpha subunit 5
Hereditary sick sinus syndrome,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4
Hereditary sick sinus syndrome,MYH6,myosin heavy chain 6
Hereditary sick sinus syndrome,GNB2,G protein subunit beta 2
Mucolipidosis type IV,MCOLN1,mucolipin TRP cation channel 1
Porokeratotic eccrine ostial and dermal duct nevus,GJB2,gap junction protein beta 2
Recessive X-linked ichthyosis,FLG,filaggrin
Recessive X-linked ichthyosis,STS,steroid sulfatase
Mucopolysaccharidosis type 7,GUSB,glucuronidase beta
Hot water reflex epilepsy,SLC1A1,solute carrier family 1 member 1
Friedreich ataxia,FXN,frataxin
Cystic fibrosis,SERPINA1,serpin family A member 1
Cystic fibrosis,SLC26A9,solute carrier family 26 member 9
Cystic fibrosis,SLC6A14,solute carrier family 6 member 14
Cystic fibrosis,SLC9A3,solute carrier family 9 member A3
Cystic fibrosis,CEACAM3,CEA cell adhesion molecule 3
Cystic fibrosis,CEACAM6,CEA cell adhesion molecule 6
Cystic fibrosis,EDNRA,endothelin receptor type A
Cystic fibrosis,GSTM3,glutathione S-transferase mu 3
Cystic fibrosis,HMOX1,heme oxygenase 1
Cystic fibrosis,GCLC,glutamate-cysteine ligase catalytic subunit
Cystic fibrosis,HFE,homeostatic iron regulator
Cystic fibrosis,CFTR,CF transmembrane conductance regulator
Cystic fibrosis,TGFB1,transforming growth factor beta 1
Cystic fibrosis,DCTN4,dynactin subunit 4
Cystic fibrosis,CLCA4,chloride channel accessory 4
Cystic fibrosis,STX1A,syntaxin 1A
Cystic fibrosis,KCNN4,potassium calcium-activated channel subfamily N member 4
Cystic fibrosis,MIF,macrophage migration inhibitory factor
Cystic fibrosis,SLC11A1,solute carrier family 11 member 1
MELAS,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G)
MELAS,MT-CO1,mitochondrially encoded cytochrome c oxidase I
MELAS,MT-CO2,mitochondrially encoded cytochrome c oxidase II
MELAS,MT-CO3,mitochondrially encoded cytochrome c oxidase III
MELAS,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
MELAS,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
MELAS,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
MELAS,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
MELAS,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1
MELAS,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G)
MELAS,MT-TH,mitochondrially encoded tRNA-His (CAU/C)
MELAS,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1
MELAS,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2
MELAS,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C)
Facioscapulohumeral dystrophy,DNMT3B,DNA methyltransferase 3 beta
Facioscapulohumeral dystrophy,DUX4,double homeobox 4
Facioscapulohumeral dystrophy,DUX4L1,double homeobox 4 like 1 (pseudogene)
Facioscapulohumeral dystrophy,FRG1,FSHD region gene 1
Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1
Kearns-Sayre syndrome,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8
Kearns-Sayre syndrome,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B
Kearns-Sayre syndrome,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1
MERRF,MT-TP,mitochondrially encoded tRNA-Pro (CCN)
MERRF,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
MERRF,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1
MERRF,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G)
MERRF,MT-RNR1,mitochondrially encoded 12S rRNA
MERRF,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G)
MERRF,MT-TH,mitochondrially encoded tRNA-His (CAU/C)
MERRF,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1
MERRF,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2
MERRF,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C)
Central core disease,RYR1,ryanodine receptor 1
Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,SOX10,SRY-box transcription factor 10
Paramyotonia congenita of Von Eulenburg,SCN4A,sodium voltage-gated channel alpha subunit 4
Acrodermatitis continua of Hallopeau,IL36RN,interleukin 36 receptor antagonist
Acrodermatitis continua of Hallopeau,AP1S3,adaptor related protein complex 1 subunit sigma 3
Pustulosis palmaris et plantaris,IL36RN,interleukin 36 receptor antagonist
Pustulosis palmaris et plantaris,AP1S3,adaptor related protein complex 1 subunit sigma 3
"X-linked intellectual disability, Najm type",CASK,calcium/calmodulin dependent serine protein kinase
Thomsen and Becker disease,CLCN1,chloride voltage-gated channel 1
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",HDAC6,histone deacetylase 6
"X-linked intellectual disability, Van Esch type",POLA1,"DNA polymerase alpha 1, catalytic subunit"
"X-linked intellectual disability, Nascimento type",UBE2A,ubiquitin conjugating enzyme E2 A
Fabry disease,GLA,galactosidase alpha
Hyperekplexia-epilepsy syndrome,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9
Rett syndrome,MECP2,methyl-CpG binding protein 2
Juvenile myoclonic epilepsy,CILK1,ciliogenesis associated kinase 1
Juvenile myoclonic epilepsy,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4
Juvenile myoclonic epilepsy,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
Juvenile myoclonic epilepsy,EFHC1,EF-hand domain containing 1
Juvenile myoclonic epilepsy,GABRD,gamma-aminobutyric acid type A receptor subunit delta
Juvenile myoclonic epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3
Juvenile myoclonic epilepsy,JRK,Jrk helix-turn-helix protein
Juvenile myoclonic epilepsy,CLCN2,chloride voltage-gated channel 2
Juvenile absence epilepsy,EFHC1,EF-hand domain containing 1
Von Hippel-Lindau disease,CCND1,cyclin D1
Von Hippel-Lindau disease,VHL,von Hippel-Lindau tumor suppressor
Autosomal recessive polycystic kidney disease,DZIP1L,DAZ interacting zinc finger protein 1 like
Autosomal recessive polycystic kidney disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin
Familial advanced sleep-phase syndrome,PER3,period circadian regulator 3
Familial advanced sleep-phase syndrome,CSNK1D,casein kinase 1 delta
Familial advanced sleep-phase syndrome,PER2,period circadian regulator 2
CHARGE syndrome,SEMA3E,semaphorin 3E
CHARGE syndrome,CHD7,chromodomain helicase DNA binding protein 7
Amyotrophic lateral sclerosis,CCNF,cyclin F
Amyotrophic lateral sclerosis,TAF15,TATA-box binding protein associated factor 15
Amyotrophic lateral sclerosis,ANXA11,annexin A11
Amyotrophic lateral sclerosis,CFAP410,cilia and flagella associated protein 410
Amyotrophic lateral sclerosis,GLE1,GLE1 RNA export mediator
Amyotrophic lateral sclerosis,NEK1,NIMA related kinase 1
Amyotrophic lateral sclerosis,GLT8D1,glycosyltransferase 8 domain containing 1
